City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
205,Marsaxlokk,MT,81.09,clear sky,35.8419,14.5431,Water's Edge
209,Bengkulu,ID,77.81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
211,Tucurui,BR,78.55,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
212,Teknaf,BD,81.1,scattered clouds,20.8624,92.3058,Forestry Guesthouse
213,Langsa,ID,78.62,scattered clouds,4.4683,97.9683,OYO 3328 Hotel Mori
216,Avera,US,78.85,overcast clouds,33.194,-82.5271,
218,Bubaque,GW,80.33,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
219,Nenjiang,CN,78.22,broken clouds,49.1833,125.2167,Nenjiang Apartment
220,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
221,Jalu,LY,82.71,clear sky,29.0331,21.5482,صاحبة الفخامة
223,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
224,Kavieng,PG,82.0,moderate rain,-2.5744,150.7967,Nusa Island Retreat
225,Meulaboh,ID,77.11,few clouds,4.1363,96.1285,Kost Pria
229,Mazagao,BR,77.05,light rain,-0.115,-51.2894,Recanto dos Ferreiras
231,Nijar,ES,73.65,clear sky,36.9665,-2.206,La Casa del Cine
236,Asfi,MA,73.08,clear sky,32.2994,-9.2372,Hôtel Abda
238,Sao Filipe,CV,73.81,few clouds,14.8961,-24.4956,Hotel Xaguate
241,Mana,GF,77.92,clear sky,5.6592,-53.7767,LE SAMANA
242,Myitkyina,MM,79.12,broken clouds,25.3833,97.4,Shwe Phyu Hotel
244,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
248,Deori,IN,81.3,moderate rain,21.45,82.6167,बंजारी डीपा
250,Linxia,CN,75.74,broken clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
251,Melilla,ES,75.58,broken clouds,35.2937,-2.9383,Hotel Anfora
252,Altagracia De Orituco,VE,71.4,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
253,Roura,GF,81.97,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
254,Katsuura,JP,78.85,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
257,Salinopolis,BR,78.1,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
258,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
260,Lanzhou,CN,83.37,overcast clouds,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
261,Sassandra,CI,75.24,overcast clouds,4.95,-6.0833,la terrasse
263,Miri,MY,80.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
268,Amapa,BR,71.1,clear sky,1.0,-52.0,
269,Yuza,JP,82.45,clear sky,39.0,139.9167,Tsuruya
270,Calafell,ES,76.53,clear sky,41.2,1.5683,Le Méridien Ra Beach Hotel & Spa
271,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Shishime Hotel
272,Komsomolskiy,UZ,70.52,clear sky,40.4272,71.7189,Ikathouse
273,Cabimas,VE,82.36,few clouds,10.3883,-71.4399,Foresgum jejdjdkdkdkdkdkdkdkdkd
274,Galesong,ID,75.22,broken clouds,-5.3166,119.3661,Sapriadi Appy
277,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
278,Guerrero Negro,MX,71.56,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
279,Filadelfia,US,77.49,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
281,Nalgonda,IN,76.21,heavy intensity rain,17.05,79.2667,Sai Krishna Residency
282,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
286,Kedougou,SN,84.78,thunderstorm,12.5579,-12.1743,Relais de Kédougou
289,Sinnamary,GF,78.21,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
290,Cranbrook,CA,75.04,scattered clouds,49.4999,-115.7688,Almo Court Motel
291,Rudbar,AF,82.67,overcast clouds,30.15,62.6,
294,Mitchell,US,74.73,scattered clouds,43.7094,-98.0298,Kelly Inn & Suites
299,Yumen,CN,75.72,broken clouds,40.2833,97.2,
300,Loandjili,CG,71.71,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
303,Caravelas,BR,70.29,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
304,Prainha,BR,75.54,few clouds,-1.8,-53.48,Casa Rocha
307,Dabakala,CI,72.82,few clouds,8.3667,-4.4333,Hotel Residence les villages de Dabakala
313,Lorengau,PG,82.06,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
316,Pindiga,NG,72.9,broken clouds,9.9833,10.9333,Accommodation Center
317,Orange Walk,BZ,77.23,clear sky,17.8333,-88.8333,
318,Muisne,EC,73.72,scattered clouds,0.6,-80.0333,Quinta Samay
321,Mukhen,RU,82.11,overcast clouds,48.1,136.1,
325,Cotonou,BJ,78.78,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
327,High Level,CA,77.11,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
329,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
332,Nautla,MX,82.81,overcast clouds,20.2167,-96.7833,Casa Blanca
333,Canmore,CA,73.81,broken clouds,51.0834,-115.3521,Blackstone Mountain Lodge by CLIQUE
335,Mitsamiouli,KM,75.31,clear sky,-11.3847,43.2844,Foyer ADM
337,Faanui,PF,78.64,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
339,Dingzhou,CN,84.31,clear sky,38.5131,114.9956,宜家时尚宾馆
340,Beidao,CN,83.57,clear sky,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
346,Yekaterinoslavka,RU,71.49,overcast clouds,50.3734,129.1139,Oktyabr'skaya
347,Misratah,LY,81.73,clear sky,32.3754,15.0925,Almasa Hotel
353,Birao,CF,73.49,overcast clouds,10.2849,22.7882,
354,Bethel,US,74.17,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
355,Kirakira,SB,84.36,overcast clouds,-10.4544,161.9205,SanBiz Lodge
356,Sri Aman,MY,77.09,few clouds,1.2376,111.4621,Seri Simanggang Hotel
357,Catuday,PH,81.5,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
358,Matara,LK,78.22,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
360,Marsa Matruh,EG,77.31,clear sky,31.3525,27.2453,Beau Site
366,Jishou,CN,81.68,overcast clouds,28.3167,109.7167,7 Days Inn
367,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
369,State College,US,80.78,scattered clouds,40.7934,-77.86,Hampton Inn State College
371,Moa,CU,79.03,few clouds,20.6569,-74.9403,Carmen
374,Pointe Michel,DM,80.58,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
379,Conakry,GN,77.07,broken clouds,9.538,-13.6773,Riviera Royal Hotel
381,Turiacu,BR,73.89,overcast clouds,-1.6633,-45.3717,Pousada Maranata
382,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
383,Akhmim,EG,80.8,clear sky,26.5622,31.745,برج الماسة السكني
384,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
386,Vanimo,PG,82.13,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
387,Dzhebariki-Khaya,RU,70.95,light rain,62.2167,135.8,
388,Solnechnyy,RU,79.29,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
389,Les Cayes,HT,79.03,clear sky,18.2,-73.75,Villa Orphee
